case_id,client_name,client_segment,strategic_client,fund_type,domicile,num_sub_funds,num_share_classes,num_jurisdictions,num_delegates,missing_documents,aml_status,kyc_status,risk_rating,client_priority,sla_days,regulatory_review_required,blocker_count,latest_blocker_type,complexity_score,complexity_label,actual_effort_hours,actual_completion_days,operational_pressure_score,pressure_band,sla_breached
C00077,AllianzGI,Institutional,False,Private Equity,Luxembourg,8,27,5,5,4,Completed,In Progress,Medium,High,20,0,0,None,125.4,High,107.4,16.1,57.0,Medium,0
C00078,M&G,Institutional,False,Hedge Fund,Luxembourg,15,24,1,6,2,Pending,Pending,Medium,Normal,20,0,2,KYC Issue,149.3,High,112.8,18.8,83.0,High,0
C00079,Varagon Generation,High Profile,True,Private Equity,Malta,13,11,6,6,14,In Progress,Pending,Medium,Normal,15,0,4,None,208.6,High,156.7,24.8,91.0,Critical,0
C00080,GreenRock,Small / Emerging,False,Real Estate,Ireland,2,15,3,1,2,Completed,Completed,Medium,High,45,0,0,None,68.0,Low,80.8,12.5,35.6,Low,0
C00081,AllianzGI,Institutional,False,UCITS,UK,3,20,1,3,0,Completed,In Progress,High,Low,30,0,3,None,93.6,Medium,72.2,13.0,56.1,Medium,1
C00082,PIMCO,Institutional,False,Real Estate,Luxembourg,4,13,3,2,0,In Progress,Completed,Low,Normal,20,0,1,AML Delay,67.7,Low,68.4,10.7,45.5,Medium,0
C00083,Legal & General,Institutional,False,Hedge Fund,Malta,12,2,5,1,3,In Progress,In Progress,High,Normal,20,0,0,None,112.9,Medium,104.1,18.1,57.0,Medium,1
C00084,M&G,Institutional,False,Hedge Fund,Cayman Islands,5,28,4,1,13,In Progress,Completed,Low,High,15,1,0,None,124.8,Medium,135.4,22.8,57.0,Medium,0
C00085,Northern Trust,Institutional,False,Real Estate,Ireland,3,1,4,4,7,Completed,In Progress,Low,High,20,0,2,KYC Issue,98.5,Medium,111.0,16.5,62.3,Medium,0
C00086,Emerald Capital,Small / Emerging,False,Real Estate,UK,11,14,2,5,3,In Progress,Pending,High,High,15,0,0,None,135.8,High,156.8,23.5,67.0,High,0
C00087,Abrdn,Institutional,False,Money Market,Ireland,7,8,3,4,5,Pending,In Progress,Low,Low,30,0,0,None,82.8,Medium,87.8,16.3,52.3,Medium,0
C00088,Invesco,Institutional,False,AIF,Malta,14,21,3,6,2,Completed,Completed,Medium,Normal,15,1,1,None,116.7,Medium,140.5,22.2,60.0,Medium,0
C00089,BNY,Institutional,False,AIF,UK,4,15,5,0,3,Completed,Pending,Medium,High,30,1,1,AML Delay,102.2,Medium,119.7,18.2,63.0,Medium,0
C00090,RiverRock,High Profile,True,Real Estate,Cayman Islands,8,13,4,4,8,Pending,Failed,High,Critical,15,0,3,AML Delay,210.4,High,232.1,32.4,98.0,Critical,0
C00091,Legal & General,Institutional,False,Money Market,Luxembourg,15,4,5,3,7,In Progress,In Progress,High,High,15,0,2,KYC Issue,149.3,High,166.5,26.1,63.0,Medium,0
C00092,Celtic Investments,Small / Emerging,False,Real Estate,Cayman Islands,15,19,3,3,3,Completed,Completed,High,High,20,0,1,None,132.1,High,114.2,17.6,60.0,Medium,1
C00093,Varagon Generation,High Profile,True,UCITS,Malta,17,15,4,8,14,Completed,In Progress,Medium,High,30,0,4,Missing Documents,199.6,High,236.9,35.0,74.0,High,1
C00094,Varagon Generation,High Profile,True,Private Equity,Luxembourg,23,13,7,7,11,Pending,Pending,High,High,20,0,2,Client Dependency,247.3,High,268.0,38.2,95.0,Critical,1
C00095,Blue Horizon,Small / Emerging,False,Money Market,Ireland,3,29,1,5,10,Completed,Pending,Medium,Low,20,1,2,Missing Documents,126.8,High,101.9,15.3,73.0,High,0
C00096,RiverRock,High Profile,True,Private Equity,Malta,8,24,7,9,12,In Progress,Completed,High,High,10,0,5,Missing Documents,235.4,High,209.8,32.2,92.0,Critical,1
C00097,M&G,Institutional,False,AIF,UK,9,3,4,0,9,Pending,Completed,Medium,High,30,1,2,None,121.9,Medium,139.3,23.2,66.0,High,0
C00098,Apollo,High Profile,True,Private Equity,Malta,19,33,3,9,9,Completed,Failed,Medium,High,20,0,5,None,243.9,High,273.1,38.9,94.0,Critical,0
C00099,Varagon Generation,High Profile,True,Hedge Fund,Malta,25,30,3,9,20,Pending,In Progress,High,High,10,0,4,KYC Issue,284.0,High,274.9,39.8,99.0,Critical,1
C00100,Liffey Investments,Small / Emerging,False,Real Estate,Cayman Islands,7,1,5,5,6,Completed,In Progress,Low,Critical,45,0,2,AML Delay,121.0,Medium,105.5,18.7,56.0,Medium,0
C00101,Blue Horizon,Small / Emerging,False,UCITS,UK,13,17,5,4,13,Completed,Completed,Low,Normal,30,0,3,KYC Issue,132.6,High,141.5,21.6,59.0,Medium,0
C00102,Fidelity,Institutional,False,Real Estate,Malta,6,19,4,0,7,Completed,Pending,Low,Normal,45,0,0,None,88.5,Medium,62.2,12.3,54.8,Medium,0
C00103,Goldman Sachs,Institutional,False,Private Equity,UK,3,14,2,3,0,Completed,In Progress,Medium,Low,20,0,2,None,82.3,Medium,107.2,16.3,55.0,Medium,0
C00104,Blue Horizon,Small / Emerging,False,UCITS,Malta,15,29,1,6,4,Pending,Completed,Low,High,30,0,2,Client Dependency,129.9,High,143.9,22.4,66.0,High,0
C00105,Legal & General,Institutional,False,UCITS,Ireland,3,24,3,3,3,Completed,Pending,High,Normal,45,1,0,KYC Issue,107.7,Medium,83.8,12.5,60.0,Medium,0
C00106,M&G,Institutional,False,Real Estate,UK,1,23,5,2,15,Completed,In Progress,Low,Low,45,0,0,None,103.6,Medium,118.8,19.4,50.0,Medium,0
C00107,PIMCO,Institutional,False,Real Estate,UK,1,15,5,3,10,Blocked,Pending,Medium,Normal,10,0,1,None,142.2,High,161.0,25.8,88.0,Critical,0
C00108,Celtic Investments,Small / Emerging,False,Hedge Fund,Ireland,14,9,2,4,11,Completed,Pending,Medium,Normal,15,0,2,AML Delay,138.3,High,165.5,26.1,73.0,High,1
C00109,Schroders,Institutional,False,Hedge Fund,Ireland,10,24,3,5,6,Completed,Completed,Low,High,30,0,3,Missing Documents,130.0,High,119.6,19.9,59.0,Medium,0
C00110,Aon,High Profile,True,AIF,Ireland,14,18,5,8,7,Pending,In Progress,Medium,High,20,0,2,None,182.8,High,170.7,24.4,85.0,Critical,1
C00111,M&G,Institutional,False,Private Equity,Luxembourg,11,6,2,4,9,In Progress,Completed,Low,Critical,10,0,3,None,132.7,High,131.4,20.5,74.0,High,0
C00112,Apollo,High Profile,True,AIF,Luxembourg,17,31,7,5,9,Completed,In Progress,Medium,Normal,15,0,3,Regulatory Review,187.9,High,190.2,28.8,78.0,High,0
C00113,Blue Horizon,Small / Emerging,False,Private Equity,Malta,7,10,5,0,9,Pending,Completed,Low,High,45,0,0,None,101.6,Medium,94.6,14.3,60.0,Medium,0
C00114,BNY,Institutional,False,UCITS,UK,3,21,4,2,9,Completed,Failed,Low,High,20,0,0,Regulatory Review,102.1,Medium,97.9,15.2,67.0,High,0
C00115,M&G,Institutional,False,Private Equity,Luxembourg,1,27,3,5,1,In Progress,Completed,Low,Normal,20,0,2,KYC Issue,93.1,Medium,101.8,15.4,59.9,Medium,1
C00116,Goldman Sachs,Institutional,False,Hedge Fund,UK,4,19,3,3,10,Completed,Failed,Medium,Low,15,0,0,KYC Issue,118.0,Medium,118.6,19.2,67.0,High,0
C00117,Liffey Investments,Small / Emerging,False,UCITS,Cayman Islands,10,2,5,0,8,Completed,Pending,Medium,High,30,0,3,Regulatory Review,120.5,Medium,141.0,21.5,69.0,High,0
C00118,M&G,Institutional,False,Hedge Fund,UK,3,18,5,3,11,Pending,In Progress,Low,Low,20,1,2,KYC Issue,141.3,High,125.2,20.1,73.0,High,0
C00119,State Street,Institutional,False,Hedge Fund,Ireland,12,27,3,0,12,In Progress,Completed,Medium,Normal,30,0,0,AML Delay,119.1,Medium,138.5,21.6,50.0,Medium,0
C00120,Fidelity,Institutional,False,Money Market,Cayman Islands,8,21,1,6,4,Pending,Completed,High,Normal,20,0,1,Client Dependency,117.1,Medium,123.7,21.4,70.0,High,0
C00121,Abrdn,Institutional,False,Hedge Fund,Cayman Islands,12,15,3,1,8,Blocked,Completed,Medium,Low,30,0,0,KYC Issue,123.8,Medium,133.7,22.8,60.0,Medium,0
C00122,DWS,Institutional,False,Hedge Fund,UK,6,26,5,6,8,Completed,Pending,Medium,Low,30,0,2,None,147.9,High,173.2,28.0,66.0,High,0
C00123,BNY,Institutional,False,Hedge Fund,Malta,2,20,3,1,10,In Progress,In Progress,High,High,20,0,1,Analyst Unavailable,128.4,High,131.4,20.8,60.0,Medium,0
C00124,Legal & General,Institutional,False,Money Market,UK,3,5,3,1,6,In Progress,Completed,Medium,Low,30,1,2,KYC Issue,87.4,Medium,77.2,12.6,50.3,Medium,0
C00125,Arbour Wealth,Small / Emerging,False,Money Market,UK,13,22,1,4,1,Pending,Completed,Medium,Normal,10,0,0,None,92.0,Medium,104.3,15.0,71.4,High,0
C00126,GreenRock,Small / Emerging,False,AIF,Malta,14,27,5,4,1,Completed,Completed,Low,High,15,1,3,Regulatory Review,135.2,High,163.7,23.1,66.0,High,1
C00127,Apollo,High Profile,True,Real Estate,Malta,24,38,7,6,19,Pending,In Progress,Medium,High,20,1,4,None,290.4,High,344.8,48.7,91.0,Critical,0
C00128,PIMCO,Institutional,False,Hedge Fund,Cayman Islands,14,17,3,4,13,In Progress,Completed,Medium,Normal,30,0,3,None,155.8,High,144.6,21.5,59.0,Medium,1
C00129,GreenRock,Small / Emerging,False,AIF,Cayman Islands,9,16,1,4,13,Completed,Failed,High,Normal,20,0,2,None,147.0,High,147.0,21.5,73.0,High,0
C00130,RiverRock,High Profile,True,Real Estate,Ireland,12,15,5,8,16,Completed,In Progress,High,Critical,15,1,2,AML Delay,228.7,High,184.2,29.5,75.0,High,1
C00131,Aon,High Profile,True,Private Equity,Luxembourg,20,19,5,4,12,In Progress,Failed,Medium,High,30,1,1,Regulatory Review,221.3,High,264.7,38.8,75.0,High,0
C00132,Harbour Capital,Small / Emerging,False,UCITS,UK,9,3,4,1,0,Completed,Completed,Medium,Low,15,1,0,Regulatory Review,65.7,Low,63.2,11.5,41.6,Medium,0
C00133,Abrdn,Institutional,False,AIF,Cayman Islands,1,24,3,2,5,Completed,Completed,High,Normal,15,0,0,None,78.4,Medium,79.9,14.0,47.3,Medium,1
C00134,Apollo,High Profile,True,UCITS,Luxembourg,16,12,5,6,12,Completed,Failed,High,High,20,0,3,None,212.9,High,256.6,38.7,88.0,Critical,0
C00135,Abrdn,Institutional,False,Real Estate,Malta,8,25,5,2,10,In Progress,Completed,High,Normal,10,0,1,Missing Documents,143.1,High,130.4,21.3,68.0,High,0
C00136,BlackRock,Institutional,False,Real Estate,UK,6,5,4,4,11,Completed,In Progress,Low,Normal,20,0,0,AML Delay,93.5,Medium,113.0,16.3,54.1,Medium,0
C00137,Fidelity,Institutional,False,Real Estate,Ireland,14,29,3,1,2,Completed,Pending,Low,Normal,20,0,3,None,125.6,High,139.1,22.5,76.0,High,0
C00138,Legal & General,Institutional,False,Money Market,UK,8,28,1,2,10,Completed,In Progress,Medium,Low,20,1,3,None,127.5,High,139.9,23.0,66.0,High,0
C00139,GreenRock,Small / Emerging,False,Money Market,Ireland,10,4,3,5,11,In Progress,Completed,Low,High,45,0,2,None,113.5,Medium,133.6,22.3,56.0,Medium,1
C00140,BlackRock,Institutional,False,Hedge Fund,Luxembourg,11,21,2,3,1,Blocked,In Progress,High,Normal,15,0,1,Regulatory Review,142.8,High,160.7,23.5,70.0,High,1
C00141,Apollo,High Profile,True,AIF,UK,20,36,3,3,20,Pending,In Progress,Medium,High,45,1,2,AML Delay,225.8,High,240.4,33.5,78.0,High,0
C00142,DWS,Institutional,False,Real Estate,Luxembourg,10,9,2,6,11,Completed,Completed,Medium,Normal,45,0,3,None,130.5,High,111.6,18.9,59.0,Medium,0
C00143,Apollo,High Profile,True,AIF,UK,11,13,5,3,15,Pending,In Progress,High,High,10,0,1,None,180.1,High,188.7,26.3,90.0,Critical,0
C00144,Abrdn,Institutional,False,UCITS,Ireland,15,29,4,3,10,Completed,In Progress,Medium,High,30,0,2,KYC Issue,148.7,High,147.6,22.2,56.0,Medium,1
C00145,Emerald Capital,Small / Emerging,False,AIF,Malta,1,6,3,2,9,Completed,Pending,Medium,Normal,30,0,2,None,88.2,Medium,81.8,12.6,60.7,Medium,0
C00146,Schroders,Institutional,False,UCITS,Ireland,13,11,4,1,14,In Progress,In Progress,Medium,Normal,15,0,1,None,124.1,Medium,99.7,14.8,60.0,Medium,0
C00147,DWS,Institutional,False,Real Estate,Cayman Islands,14,12,4,4,4,Completed,Pending,Medium,Normal,30,0,2,None,133.6,High,123.1,18.5,66.0,High,0
C00148,RiverRock,High Profile,True,Real Estate,UK,8,24,4,7,6,In Progress,Completed,High,Critical,15,1,1,AML Delay,189.1,High,205.5,29.9,72.0,High,0
C00149,BNY,Institutional,False,AIF,Ireland,11,8,4,5,8,In Progress,Pending,Medium,High,20,1,0,Missing Documents,136.5,High,109.4,17.7,67.0,High,1
C00150,Schroders,Institutional,False,UCITS,Ireland,13,12,5,3,9,Completed,In Progress,Medium,Critical,15,0,2,None,140.9,High,114.7,18.1,63.0,Medium,1
C00151,GreenRock,Small / Emerging,False,Real Estate,Ireland,7,17,4,3,3,Completed,Completed,Medium,Low,20,0,0,KYC Issue,86.4,Medium,73.2,13.1,50.9,Medium,0
C00152,DWS,Institutional,False,Real Estate,Ireland,8,8,3,4,0,In Progress,Completed,High,Normal,45,1,3,AML Delay,132.5,High,129.7,21.0,59.0,Medium,0
C00153,J.P. Morgan,Institutional,False,Hedge Fund,Ireland,15,6,3,4,8,Blocked,Completed,High,Normal,20,0,0,KYC Issue,148.7,High,179.3,27.9,67.0,High,1
C00154,J.P. Morgan,Institutional,False,Money Market,Luxembourg,12,25,4,3,0,Completed,In Progress,Medium,Normal,45,0,1,KYC Issue,99.9,Medium,115.5,20.2,53.0,Medium,1
